Date,Daily Max 8-Hour CO Concentration,Air Quality Index,Green Color,Yellow Color
08/26/2017,0.5,6,#87D169,#EBB65A
08/27/2017,0.6,7,#87D169,#EBB65A
08/28/2017,0.8,9,#87D169,#EBB65A
08/29/2017,0.8,9,#87D169,#EBB65A
08/30/2017,0.5,6,#87D169,#EBB65A
08/31/2017,0.5,6,#87D169,#EBB65A
09/01/2017,0.6,7,#87D169,#EBB65A
09/02/2017,0.6,7,#87D169,#EBB65A
09/03/2017,0.6,7,#87D169,#EBB65A
09/04/2017,0.6,7,#87D169,#EBB65A
09/05/2017,1,11,#87D169,#EBB65A
09/06/2017,0.9,10,#87D169,#EBB65A
09/07/2017,0.8,9,#87D169,#EBB65A
09/08/2017,0.8,9,#87D169,#EBB65A
09/09/2017,0.6,7,#87D169,#EBB65A
09/10/2017,0.5,6,#87D169,#EBB65A
09/11/2017,0.7,8,#87D169,#EBB65A
09/12/2017,0.5,6,#87D169,#EBB65A
09/19/2017,0.5,6,#87D169,#EBB65A
09/26/2017,0.6,7,#87D169,#EBB65A
09/27/2017,0.8,9,#87D169,#EBB65A
09/28/2017,0.8,9,#87D169,#EBB65A
09/29/2017,0.5,6,#87D169,#EBB65A
09/30/2017,0.6,7,#87D169,#EBB65A
10/01/2017,0.6,7,#87D169,#EBB65A
10/02/2017,0.6,7,#87D169,#EBB65A
10/03/2017,0.5,6,#87D169,#EBB65A
10/04/2017,0.7,8,#87D169,#EBB65A
10/05/2017,0.9,10,#87D169,#EBB65A
10/06/2017,0.9,10,#87D169,#EBB65A
10/07/2017,0.4,5,#87D169,#EBB65A
10/08/2017,0.7,8,#87D169,#EBB65A
10/10/2017,0.6,7,#87D169,#EBB65A
10/11/2017,0.6,7,#87D169,#EBB65A
10/12/2017,0.5,6,#87D169,#EBB65A
10/13/2017,0.5,6,#87D169,#EBB65A
10/14/2017,0.6,7,#87D169,#EBB65A
10/15/2017,0.5,6,#87D169,#EBB65A
10/16/2017,0.6,7,#87D169,#EBB65A
10/17/2017,0.4,5,#87D169,#EBB65A
10/18/2017,0.4,5,#87D169,#EBB65A
10/19/2017,0.4,5,#87D169,#EBB65A
10/20/2017,0.5,6,#87D169,#EBB65A
10/21/2017,0.4,5,#87D169,#EBB65A
10/22/2017,0.4,5,#87D169,#EBB65A
10/23/2017,0.8,9,#87D169,#EBB65A
10/24/2017,0.7,8,#87D169,#EBB65A
11/03/2017,0.3,3,#87D169,#EBB65A
11/04/2017,0.6,7,#87D169,#EBB65A
11/05/2017,0.7,8,#87D169,#EBB65A
11/06/2017,1,11,#87D169,#EBB65A
11/07/2017,0.9,10,#87D169,#EBB65A
11/08/2017,0.8,9,#87D169,#EBB65A
11/09/2017,0.8,9,#87D169,#EBB65A
11/10/2017,0.8,9,#87D169,#EBB65A
11/11/2017,0.9,10,#87D169,#EBB65A
11/12/2017,0.5,6,#87D169,#EBB65A
11/13/2017,0.4,5,#87D169,#EBB65A
11/14/2017,0.4,5,#87D169,#EBB65A
11/16/2017,0.5,6,#87D169,#EBB65A
11/17/2017,0.6,7,#87D169,#EBB65A
11/18/2017,0.6,7,#87D169,#EBB65A
11/19/2017,0.6,7,#87D169,#EBB65A
11/20/2017,0.5,6,#87D169,#EBB65A
11/21/2017,0.9,10,#87D169,#EBB65A
11/29/2017,0.6,7,#87D169,#EBB65A
12/01/2017,0.5,6,#87D169,#EBB65A
12/02/2017,0.5,6,#87D169,#EBB65A
12/03/2017,0.5,6,#87D169,#EBB65A
12/04/2017,0.7,8,#87D169,#EBB65A
12/05/2017,0.6,7,#87D169,#EBB65A
12/06/2017,0.8,9,#87D169,#EBB65A
12/07/2017,1.3,15,#87D169,#EBB65A
12/08/2017,1.7,19,#87D169,#EBB65A
12/09/2017,2.2,25,#87D169,#EBB65A
12/10/2017,2.1,24,#87D169,#EBB65A
12/11/2017,1.2,14,#87D169,#EBB65A
12/12/2017,1,11,#87D169,#EBB65A
12/13/2017,0.6,7,#87D169,#EBB65A
12/14/2017,1.3,15,#87D169,#EBB65A
12/15/2017,1.3,15,#87D169,#EBB65A
12/16/2017,0.6,7,#87D169,#EBB65A
12/17/2017,0.5,6,#87D169,#EBB65A
12/18/2017,0.4,5,#87D169,#EBB65A
